body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.004020,-0.049307,0.006942,-0.000394,-0.042763,0.010603,-0.005299,0.002618,0.014416,-0.000323,-0.005561,0.013185,-0.000293,-0.042788,0.003870,0.001314,-0.020935,0.006266,0.001841,-0.004637,0.008013,-0.004734,-0.050936,0.007090,-0.006158,-0.073495,0.003759,-0.003616,-0.063310,0.003915,-0.004537,-0.053323,0.001902,-0.006014,-0.060432,0.004617,-0.005407,-0.050384,0.004534,-0.008065,-0.038694,0.003025
-0.005861,-0.047729,0.013053,-0.001123,-0.044245,0.017688,-0.004981,-0.005167,0.021057,-0.000222,-0.007875,0.020432,-0.001005,-0.042801,0.009083,0.000786,-0.022399,0.011392,0.001846,-0.005272,0.013173,-0.006904,-0.048331,0.013097,-0.009518,-0.071550,0.010284,-0.003633,-0.064494,0.011486,-0.002249,-0.058409,0.010481,-0.009293,-0.056700,0.010099,-0.009760,-0.048454,0.010202,-0.012534,-0.040531,0.009244
-0.009078,-0.042767,0.020479,-0.003279,-0.043559,0.025890,-0.002967,-0.027755,0.027410,-0.000390,-0.010633,0.029263,-0.003155,-0.039616,0.015593,-0.001602,-0.027238,0.017176,0.001306,-0.005550,0.019571,-0.010401,-0.042591,0.020444,-0.013914,-0.067199,0.017856,-0.004607,-0.064071,0.020163,-0.001124,-0.063529,0.020487,-0.013609,-0.050228,0.017043,-0.015870,-0.043372,0.017453,-0.017113,-0.042582,0.017507
-0.013944,-0.033585,0.028298,-0.007162,-0.039986,0.034246,0.001191,-0.067735,0.032397,-0.000785,-0.013950,0.039110,-0.007039,-0.032604,0.022446,-0.007136,-0.041514,0.022093,-0.000020,-0.006273,0.026592,-0.015489,-0.033061,0.028225,-0.019408,-0.059192,0.025558,-0.006420,-0.060061,0.029053,-0.002656,-0.068902,0.031364,-0.019040,-0.040249,0.024674,-0.024168,-0.033591,0.025590,-0.020774,-0.045795,0.027581
-0.020465,-0.019827,0.035097,-0.012744,-0.032996,0.041449,0.007319,-0.120465,0.035360,-0.000509,-0.017550,0.048990,-0.012611,-0.021671,0.028155,-0.016662,-0.072741,0.024317,-0.001380,-0.008186,0.033776,-0.022221,-0.019452,0.035033,-0.026220,-0.046472,0.032201,-0.008248,-0.049567,0.037187,-0.008625,-0.075502,0.042880,-0.025821,-0.026462,0.031455,-0.035696,-0.017221,0.033265,-0.022261,-0.052432,0.039126
-0.028444,-0.001807,0.039121,-0.019645,-0.022225,0.046057,0.013990,-0.173701,0.036148,0.001231,-0.020653,0.057415,-0.019469,-0.007080,0.030831,-0.030209,-0.126621,0.022381,-0.001279,-0.011623,0.041183,-0.030494,-0.002105,0.039108,-0.034485,-0.028909,0.036223,-0.008503,-0.029328,0.043395,-0.020530,-0.084916,0.055119,-0.034098,-0.009462,0.035401,-0.052040,0.007357,0.038848,-0.020184,-0.066847,0.052523
-0.037647,0.019466,0.038474,-0.027067,-0.007653,0.046859,0.018736,-0.212200,0.034871,0.004060,-0.022184,0.062523,-0.026767,0.010732,0.028214,-0.046726,-0.203328,0.015553,0.001663,-0.016774,0.049097,-0.040235,0.017952,0.038553,-0.044004,-0.007690,0.035595,-0.005300,0.003294,0.046098,-0.038801,-0.098695,0.068355,-0.043700,0.009115,0.034557,-0.074679,0.040267,0.040852,-0.013011,-0.095828,0.069841
-0.047925,0.042337,0.031538,-0.033831,0.009940,0.043294,0.019378,-0.225096,0.031591,0.006605,-0.021301,0.062657,-0.033272,0.030928,0.018011,-0.063719,-0.295015,0.003953,0.008140,-0.024598,0.057146,-0.051523,0.039149,0.031729,-0.054257,0.014508,0.028104,0.002387,0.048529,0.043385,-0.062468,-0.117897,0.082982,-0.054129,0.026796,0.027503,-0.103622,0.078651,0.038135,0.001104,-0.147449,0.095351
-0.059252,0.064725,0.017491,-0.039060,0.028778,0.035341,0.015314,-0.211614,0.025986,0.007556,-0.017804,0.057000,-0.038057,0.051785,-0.001098,-0.077330,-0.386027,-0.011338,0.018092,-0.037433,0.063529,-0.064470,0.059740,0.017778,-0.064701,0.033675,0.012060,0.013262,0.101915,0.033431,-0.089897,-0.143560,0.099373,-0.064833,0.040809,0.013631,-0.135933,0.115752,0.029706,0.024439,-0.228006,0.134871
-0.071746,0.084879,-0.003585,-0.043346,0.046852,0.022595,0.007613,-0.181963,0.016889,0.006385,-0.012057,0.045717,-0.041736,0.070801,-0.028478,-0.083769,-0.457416,-0.028463,0.030596,-0.057754,0.065295,-0.079004,0.078591,-0.003275,-0.075293,0.045535,-0.013131,0.022992,0.153503,0.014866,-0.120233,-0.177345,0.117214,-0.075707,0.048816,-0.007255,-0.165635,0.141777,0.014000,0.059154,-0.337804,0.193122
-0.085671,0.102614,-0.031429,-0.049279,0.063369,0.003098,-0.001824,-0.153937,0.002033,0.003268,-0.004664,0.029738,-0.047033,0.085740,-0.061850,-0.082108,-0.495925,-0.045671,0.043636,-0.084838,0.060252,-0.094805,0.096187,-0.031207,-0.086868,0.047791,-0.047198,0.025228,0.190884,-0.013407,-0.153844,-0.220253,0.134038,-0.087480,0.049574,-0.036059,-0.185799,0.147140,-0.011992,0.105620,-0.467090,0.268886
