joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.461542,-0.045948,-0.035425,0.045162,-0.263697,-0.117263,0.515433,-0.587563,0.174266,0.883341,0.938648,0.199763,0.027876,-0.476726,-0.651488,0.327694,-0.305040,0.246793,0.008768,-0.324002,0.132666,1.207871,1.570853,-0.427058,0.944434,0.046822,0.118729,0.183374,-0.044176
-0.459124,-0.090049,-0.011193,-0.006039,-0.353984,-0.146226,0.486727,-0.594037,0.172583,0.914613,1.149527,0.250630,0.137988,-0.486566,-0.589165,0.341952,-0.373816,0.250610,-0.067999,-0.209911,0.033504,1.190198,1.568640,-0.440098,0.977669,0.089003,0.172704,0.190670,-0.073269
-0.437690,-0.188559,0.008325,-0.027060,-0.421829,-0.147614,0.455501,-0.542057,0.177331,0.922140,1.370732,0.288722,0.220620,-0.491096,-0.459708,0.366708,-0.443456,0.236826,-0.099721,-0.154793,-0.006016,1.170992,1.568640,-0.552173,0.967667,0.083658,0.198421,0.198828,-0.112224
-0.422946,-0.281760,0.028468,-0.039326,-0.471443,-0.141239,0.419564,-0.494780,0.184615,0.935806,1.551944,0.311508,0.303067,-0.495076,-0.362227,0.392922,-0.505856,0.221408,-0.115401,-0.119665,-0.013038,1.158989,1.566789,-0.648350,0.948703,0.073049,0.205166,0.202866,-0.150333
-0.421585,-0.364341,0.049859,-0.034077,-0.484595,-0.119336,0.374200,-0.456910,0.196968,0.961752,1.653170,0.303678,0.385145,-0.495076,-0.328695,0.422051,-0.553775,0.202718,-0.098997,-0.124516,0.044940,1.161392,1.558524,-0.712732,0.911813,0.051913,0.173968,0.198668,-0.186749
-0.422078,-0.421841,0.064577,-0.038701,-0.500230,-0.096308,0.315291,-0.437794,0.209020,0.977554,1.697502,0.283744,0.461948,-0.491419,-0.329807,0.444752,-0.589092,0.187873,-0.075182,-0.142802,0.112080,1.152286,1.544653,-0.729391,0.868509,0.036850,0.123317,0.214058,-0.231602
-0.423023,-0.466801,0.075959,-0.048260,-0.517108,-0.072717,0.249608,-0.428054,0.220921,0.988285,1.713386,0.257756,0.536115,-0.484491,-0.348240,0.464239,-0.618108,0.174950,-0.047661,-0.167806,0.183800,1.137426,1.527980,-0.722188,0.821999,0.024823,0.062938,0.239240,-0.280672
-0.415571,-0.489164,0.083748,-0.069124,-0.554669,-0.058775,0.183479,-0.425737,0.225779,0.977023,1.670988,0.230582,0.582039,-0.472108,-0.358424,0.472037,-0.629849,0.165043,-0.033989,-0.200474,0.233723,1.111843,1.517432,-0.704080,0.775400,0.012864,0.028639,0.280667,-0.299165
-0.401734,-0.503568,0.094094,-0.083855,-0.583078,-0.046831,0.122116,-0.422459,0.229018,0.959689,1.611632,0.205753,0.614229,-0.459536,-0.362870,0.475571,-0.634617,0.152697,-0.025661,-0.224970,0.268204,1.088232,1.505773,-0.686645,0.732883,-0.000862,0.002778,0.317037,-0.306746
-0.375129,-0.502052,0.109554,-0.083855,-0.593182,-0.038886,0.070286,-0.417260,0.229018,0.930209,1.518365,0.185615,0.618952,-0.446588,-0.355837,0.470577,-0.625438,0.135469,-0.028020,-0.233125,0.271801,1.068568,1.491890,-0.670556,0.698530,-0.018122,-0.006205,0.343290,-0.292505
